Relative Path,File Name,Assert Location (Line Number),Assert Count
numpy-git/numpy/core/src/_simd/_simd_arg.inc,_simd_arg.inc,"13,43",2
numpy-git/numpy/core/src/_simd/_simd_inc.h.src,_simd_inc.h.src,,0
numpy-git/numpy/core/src/_simd/_simd_data.inc.src,_simd_data.inc.src,,0
numpy-git/numpy/core/src/_simd/_simd.h,_simd.h,,0
numpy-git/numpy/core/src/_simd/_simd.dispatch.c.src,_simd.dispatch.c.src,,0
numpy-git/numpy/core/src/_simd/_simd_vector.inc,_simd_vector.inc,"108,140",2
numpy-git/numpy/core/src/_simd/_simd_easyintrin.inc,_simd_easyintrin.inc,,0
numpy-git/numpy/core/src/_simd/_simd_convert.inc,_simd_convert.inc,"14,31,55,86,167,193",6
numpy-git/numpy/core/src/_simd/_simd.c,_simd.c,,0
numpy-git/numpy/core/src/common/npy_cpu_features.c.src,npy_cpu_features.c.src,,0
numpy-git/numpy/core/src/common/npy_fpmath.h,npy_fpmath.h,,0
numpy-git/numpy/core/src/common/npy_cblas.h,npy_cblas.h,,0
numpy-git/numpy/core/src/common/numpyos.c,numpyos.c,87,1
numpy-git/numpy/core/src/common/npy_cblas_base.h,npy_cblas_base.h,,0
numpy-git/numpy/core/src/common/npy_ctypes.h,npy_ctypes.h,,0
numpy-git/numpy/core/src/common/npy_hashtable.h,npy_hashtable.h,,0
numpy-git/numpy/core/src/common/npy_import.h,npy_import.h,,0
numpy-git/numpy/core/src/common/ufunc_override.c,ufunc_override.c,,0
numpy-git/numpy/core/src/common/cblasfuncs.h,cblasfuncs.h,,0
numpy-git/numpy/core/src/common/array_assign.c,array_assign.c,,0
numpy-git/numpy/core/src/common/get_attr_string.h,get_attr_string.h,,0
numpy-git/numpy/core/src/common/umathmodule.h,umathmodule.h,,0
numpy-git/numpy/core/src/common/numpy_tag.h,numpy_tag.h,,0
numpy-git/numpy/core/src/common/dlpack/dlpack.h,dlpack.h,,0
numpy-git/numpy/core/src/common/mem_overlap.c,mem_overlap.c,"213,214,266",3
numpy-git/numpy/core/src/common/npy_cpu_features.h,npy_cpu_features.h,,0
numpy-git/numpy/core/src/common/npy_longdouble.h,npy_longdouble.h,,0
numpy-git/numpy/core/src/common/simd/avx2/utils.h,utils.h,,0
numpy-git/numpy/core/src/common/simd/avx2/avx2.h,avx2.h,,0
numpy-git/numpy/core/src/common/simd/avx2/operators.h,operators.h,,0
numpy-git/numpy/core/src/common/simd/avx2/misc.h,misc.h,,0
numpy-git/numpy/core/src/common/simd/avx2/conversion.h,conversion.h,,0
